factor,IC_mean,IC_std,ICIR
momentum,0.010143090798677265,0.14251748806174352,0.07117085023476506
volatility,-0.020752796655082326,0.1549537616789274,-0.13392896326120332
reversal,-0.004768307489473215,0.12214934655391863,-0.03903670076015028
volume_ratio,-0.02309145752316495,0.0827918722898107,-0.27890971522342106
