month,ts_code,factor_score
2016-01,000025.SZ,5.021986454106626
2016-01,600053.SH,4.389169695429704
2016-01,000034.SZ,3.026870328658007
2016-01,002506.SZ,2.9110858050621267
2016-01,002612.SZ,2.6321214708065184
2016-01,002027.SZ,2.6049300341479653
2016-01,002558.SZ,2.5505700280376584
2016-01,002359.SZ,2.4081445513683177
2016-01,000806.SZ,2.4073087466384595
2016-01,000718.SZ,2.2517469375119568
2016-01,600122.SH,2.2378890821811375
2016-01,600233.SH,2.061113950738151
2016-01,002625.SZ,2.018603078652729
2016-01,002517.SZ,1.8122895597190465
2016-01,300113.SZ,1.7560324027685856
2016-01,002407.SZ,1.686510427667001
2016-01,600666.SH,1.6704436161202152
2016-01,002011.SZ,1.6672629217585533
2016-01,300116.SZ,1.6253881780550106
2016-01,002065.SZ,1.5399363023134112
2016-01,002261.SZ,1.4943000366368255
2016-01,000766.SZ,1.4882081986994984
2016-01,002308.SZ,1.4647452457743697
2016-01,002426.SZ,1.4377859895495757
2016-01,600482.SH,1.3881530535598614
2016-01,600649.SH,1.3787525199951347
2016-01,002460.SZ,1.3513233280420875
2016-01,002465.SZ,1.3414687970761578
2016-01,002010.SZ,1.3412171503457018
2016-01,000938.SZ,1.3299994770475787
2016-01,600740.SH,1.288519455385757
2016-01,601238.SH,1.1989091336347442
2016-01,600770.SH,1.139072251283868
2016-01,600745.SH,1.1361314257907282
2016-01,002192.SZ,1.1345286212330215
2016-01,002573.SZ,1.1179626892762717
2016-01,600009.SH,0.9932960794557267
2016-01,600900.SH,0.9930046098239979
2016-01,002572.SZ,0.9855131213428532
2016-01,002276.SZ,0.9848077370770209
2016-01,000002.SZ,0.9803899150551552
2016-01,000564.SZ,0.9292601597701577
2016-01,002124.SZ,0.9234592465865383
2016-01,002458.SZ,0.9106340650707059
2016-01,601166.SH,0.9026971708290122
2016-01,600160.SH,0.9005272529228852
2016-01,600036.SH,0.8756934960696825
2016-01,600556.SH,0.8742219725280599
2016-01,600981.SH,0.865849738101307
2016-01,002466.SZ,0.8493571492502262
2016-01,000078.SZ,0.8389047552814627
2016-01,002670.SZ,0.8372894701762774
2016-01,002002.SZ,0.8369646964243254
2016-01,002080.SZ,0.8280451810962651
2016-01,600236.SH,0.8259248113540494
2016-01,600000.SH,0.8183176796718437
2016-01,300003.SZ,0.8163232315514914
2016-01,002032.SZ,0.8054671029947533
2016-01,000662.SZ,0.805260635846506
2016-01,600377.SH,0.7999556034765
2016-01,601398.SH,0.7787825909743452
2016-01,002312.SZ,0.774031620147911
2016-01,603456.SH,0.7686748450702909
2016-01,000963.SZ,0.766407071161064
2016-01,600389.SH,0.7598152312759682
2016-01,002472.SZ,0.749552373969397
2016-01,002161.SZ,0.7429963538831603
2016-01,002093.SZ,0.7416662961825345
2016-01,600519.SH,0.7358694985614133
2016-01,600276.SH,0.7264336004855663
2016-01,000155.SZ,0.7132762504594883
2016-01,002373.SZ,0.7111656606019015
2016-01,600521.SH,0.7100438632889938
2016-01,002052.SZ,0.7062775784313352
2016-01,601519.SH,0.7051785772459384
2016-01,002709.SZ,0.7047909784748012
2016-01,002123.SZ,0.6996459986311635
2016-01,600299.SH,0.6959723461304793
2016-01,600728.SH,0.6863520920793655
2016-01,601009.SH,0.6849543157811743
2016-01,000818.SZ,0.6786784519087786
2016-01,601288.SH,0.6544182202744555
2016-01,600867.SH,0.6421048913997862
2016-01,000566.SZ,0.6316025992759521
2016-01,000893.SZ,0.629027194406487
2016-01,600848.SH,0.6288634533085569
2016-01,600350.SH,0.626542214455047
2016-01,601988.SH,0.6152606528242248
2016-01,000423.SZ,0.6085266956886727
2016-01,600895.SH,0.6058911890517656
2016-01,000403.SZ,0.6028362166877451
2016-01,600016.SH,0.6014285603097975
2016-01,002242.SZ,0.6005985753888383
2016-01,002143.SZ,0.5904457042472204
2016-01,600884.SH,0.58571815275934
2016-01,000568.SZ,0.5835458446984643
2016-01,601939.SH,0.5803288028900464
2016-01,000538.SZ,0.5796292862624333
2016-01,600851.SH,0.5786550181698235
2016-01,002468.SZ,0.5731867571500731
2016-01,600612.SH,0.5651468278551703
2016-01,600373.SH,0.5641362071605606
2016-01,300009.SZ,0.5602552567724116
2016-01,000858.SZ,0.5545135688437249
2016-01,000089.SZ,0.5522717299084738
2016-01,601169.SH,0.5456892486469377
2016-01,601818.SH,0.5434177545925887
2016-01,600240.SH,0.5364774939945669
2016-01,600575.SH,0.5342496727141466
2016-01,000587.SZ,0.5340632268376977
2016-01,000927.SZ,0.5325810866120264
2016-01,601718.SH,0.5324819319705382
2016-01,600779.SH,0.5271028951943935
2016-01,000510.SZ,0.5253933483840263
2016-01,002156.SZ,0.5199339355856327
2016-01,601328.SH,0.5192760120476917
2016-01,002183.SZ,0.516735479744293
2016-01,002450.SZ,0.5015009970976565
2016-01,002180.SZ,0.5012617430810339
2016-01,600660.SH,0.49941075067509183
2016-01,000799.SZ,0.4977804378589211
2016-01,600351.SH,0.49742251923969816
2016-01,600754.SH,0.4966087802759284
2016-01,000559.SZ,0.49621714899853586
2016-01,000690.SZ,0.4941386391292037
2016-01,600115.SH,0.49385069711956886
2016-01,600602.SH,0.49239992791980425
