Metric,V3,V14
Total Return,2.3525882838309964,3.624983513894092
Annual Return,0.13870350855506364,0.17872805582048734
Volatility,0.19631665840609763,0.10409396252440864
Sharpe Ratio,0.7065294900657064,1.7169877242263498
Max Drawdown,-0.4037918717343897,-0.13768656989153083
